['0.025604', '0.002711', '0.001913', '0.012710', '0.002185', '0.003408', '0.001944', '0.008664', '0.001933', '0.001490', '0.001618', '0.004016', '0.003964', '0.001951', '0.001915', '0.003300', '0.003350', '0.002033', '0.003285', '0.002141', '0.001578', '0.002199', '0.004172', '0.002313', '0.002206', '0.001347', '0.003155', '0.003886', '0.001070', '0.001274', '0.003437', '0.003397', '0.001528', '0.001506', '0.000791', '0.001799', '0.001003', '0.001117', '0.001309', '0.001978', '0.001010', '0.000918', '0.000923', '0.000552', '0.000554', '0.001097', '0.001198', '0.000804', '0.000646', '0.000682', '0.002054', '0.000590', '0.001251', '0.000661', '0.002284', '0.000731', '0.001359', '0.804151', '0.043512']
['0.031174', '0.003336', '0.002579', '0.014176', '0.002679', '0.003821', '0.002621', '0.010780', '0.002116', '0.001767', '0.001649', '0.004155', '0.004364', '0.002490', '0.002287', '0.003722', '0.003873', '0.002333', '0.003863', '0.002243', '0.001753', '0.002693', '0.005210', '0.002542', '0.002396', '0.001512', '0.004306', '0.004133', '0.001206', '0.001431', '0.004805', '0.003531', '0.001699', '0.001699', '0.000914', '0.001999', '0.001170', '0.001262', '0.001560', '0.002343', '0.001125', '0.001031', '0.001009', '0.000576', '0.000636', '0.001125', '0.001266', '0.000948', '0.000817', '0.000809', '0.002088', '0.000684', '0.001214', '0.000707', '0.002377', '0.000868', '0.001530', '0.772583', '0.050971']
['0.042478', '0.005081', '0.002854', '0.014381', '0.003241', '0.006064', '0.003025', '0.011987', '0.002771', '0.002057', '0.002233', '0.003903', '0.003707', '0.002892', '0.003368', '0.003453', '0.003521', '0.002055', '0.005242', '0.002186', '0.001812', '0.002399', '0.007494', '0.002381', '0.002031', '0.001211', '0.003829', '0.006111', '0.001152', '0.001207', '0.004691', '0.005465', '0.001386', '0.001600', '0.000943', '0.002620', '0.001162', '0.001306', '0.001368', '0.003583', '0.001339', '0.001179', '0.001112', '0.000964', '0.000941', '0.001222', '0.001270', '0.001360', '0.001195', '0.001258', '0.002875', '0.001076', '0.002361', '0.001110', '0.003097', '0.001324', '0.002584', '0.715875', '0.074533']
['0.048489', '0.005983', '0.003284', '0.015756', '0.004028', '0.006820', '0.003554', '0.013505', '0.003278', '0.002421', '0.002779', '0.003843', '0.003764', '0.003351', '0.003381', '0.003425', '0.003725', '0.002123', '0.005669', '0.002453', '0.001723', '0.002561', '0.007883', '0.002660', '0.002339', '0.001445', '0.003882', '0.006944', '0.001105', '0.001382', '0.004662', '0.005798', '0.001549', '0.001896', '0.001189', '0.002903', '0.001389', '0.001351', '0.001602', '0.004051', '0.001440', '0.001370', '0.001442', '0.001217', '0.001307', '0.001635', '0.001532', '0.001594', '0.001538', '0.001619', '0.003651', '0.001382', '0.002810', '0.001573', '0.003813', '0.001799', '0.003210', '0.674659', '0.089869']
['0.036068', '0.004785', '0.002684', '0.009010', '0.002675', '0.004868', '0.002857', '0.008968', '0.002705', '0.002011', '0.002044', '0.003142', '0.002900', '0.002202', '0.002234', '0.002929', '0.002794', '0.001830', '0.002977', '0.001878', '0.001669', '0.002007', '0.003431', '0.001892', '0.002074', '0.001232', '0.002143', '0.002932', '0.001042', '0.001334', '0.002400', '0.002420', '0.001451', '0.001479', '0.000842', '0.001515', '0.000996', '0.001205', '0.001010', '0.001877', '0.000897', '0.000964', '0.000938', '0.000751', '0.000787', '0.001010', '0.001049', '0.000914', '0.000870', '0.001030', '0.002216', '0.000897', '0.002063', '0.000975', '0.002174', '0.000945', '0.002096', '0.781981', '0.058252']
['0.036517', '0.004840', '0.002738', '0.008586', '0.002890', '0.005055', '0.003065', '0.008867', '0.002636', '0.002020', '0.002146', '0.003162', '0.003110', '0.002284', '0.002277', '0.003196', '0.003102', '0.001970', '0.002892', '0.002023', '0.001787', '0.002211', '0.003128', '0.001967', '0.002274', '0.001635', '0.002127', '0.002854', '0.001185', '0.001438', '0.002589', '0.002350', '0.001528', '0.001695', '0.000864', '0.001637', '0.000953', '0.001329', '0.001108', '0.001499', '0.001042', '0.000904', '0.001022', '0.000839', '0.000867', '0.000995', '0.000988', '0.000959', '0.000907', '0.001038', '0.002233', '0.001024', '0.002132', '0.001006', '0.002138', '0.001114', '0.002112', '0.777212', '0.059168']
['0.033598', '0.004798', '0.002539', '0.007661', '0.002725', '0.005463', '0.002492', '0.006045', '0.002250', '0.001496', '0.001833', '0.002738', '0.002854', '0.002105', '0.001829', '0.002684', '0.002370', '0.001584', '0.002035', '0.001682', '0.001978', '0.001713', '0.002560', '0.001693', '0.002403', '0.001462', '0.001661', '0.001885', '0.001159', '0.001347', '0.001806', '0.001571', '0.001405', '0.001525', '0.000670', '0.000955', '0.000887', '0.001507', '0.000978', '0.001120', '0.000885', '0.000874', '0.000774', '0.000679', '0.000765', '0.000994', '0.001027', '0.000846', '0.000783', '0.000849', '0.001840', '0.000751', '0.001949', '0.000862', '0.002069', '0.001039', '0.002062', '0.799527', '0.056490']
['0.038958', '0.005773', '0.003148', '0.009846', '0.002981', '0.005973', '0.002891', '0.008539', '0.002452', '0.001925', '0.002158', '0.003499', '0.003264', '0.002636', '0.002449', '0.003071', '0.003093', '0.001915', '0.002720', '0.001733', '0.002124', '0.002094', '0.003498', '0.001902', '0.002747', '0.001594', '0.002439', '0.002703', '0.001393', '0.001646', '0.002621', '0.002245', '0.001718', '0.001832', '0.000990', '0.001285', '0.001027', '0.001547', '0.001241', '0.001564', '0.001002', '0.001034', '0.001106', '0.000927', '0.001000', '0.001261', '0.001209', '0.001156', '0.001020', '0.001243', '0.002466', '0.001076', '0.002290', '0.001199', '0.002584', '0.001308', '0.002636', '0.757494', '0.067890']
['0.036704', '0.004204', '0.002585', '0.012302', '0.002750', '0.004874', '0.002719', '0.010853', '0.002446', '0.001709', '0.001866', '0.003490', '0.003428', '0.002461', '0.002320', '0.003222', '0.003358', '0.001763', '0.004214', '0.002080', '0.001428', '0.001928', '0.005660', '0.001951', '0.002015', '0.001162', '0.003601', '0.003716', '0.000887', '0.001072', '0.003711', '0.003392', '0.001255', '0.001420', '0.000778', '0.002201', '0.000982', '0.001052', '0.001191', '0.002621', '0.000920', '0.000910', '0.000794', '0.000704', '0.000784', '0.000936', '0.001021', '0.001180', '0.000938', '0.000979', '0.002198', '0.000838', '0.001990', '0.000869', '0.002358', '0.001023', '0.002106', '0.762418', '0.061258']
['0.047315', '0.005620', '0.003430', '0.015182', '0.003523', '0.006375', '0.003598', '0.013597', '0.003094', '0.002282', '0.002446', '0.004302', '0.004440', '0.003507', '0.003088', '0.004085', '0.004106', '0.002321', '0.005570', '0.002513', '0.001839', '0.002797', '0.006384', '0.002698', '0.002474', '0.001608', '0.004138', '0.004646', '0.001214', '0.001350', '0.004842', '0.003740', '0.001649', '0.001867', '0.001158', '0.003090', '0.001266', '0.001408', '0.001529', '0.003327', '0.001348', '0.001264', '0.001344', '0.001089', '0.001150', '0.001456', '0.001576', '0.001496', '0.001419', '0.001389', '0.003333', '0.001154', '0.002515', '0.001346', '0.003490', '0.001518', '0.002973', '0.691271', '0.081766']
['0.043419', '0.005579', '0.003159', '0.013064', '0.003238', '0.005751', '0.003080', '0.011689', '0.002879', '0.002175', '0.002534', '0.004193', '0.004045', '0.002886', '0.002483', '0.003932', '0.003832', '0.002256', '0.004228', '0.002113', '0.001831', '0.002472', '0.004876', '0.002157', '0.002492', '0.001581', '0.003113', '0.003261', '0.001132', '0.001326', '0.003485', '0.003059', '0.001532', '0.001812', '0.001085', '0.002002', '0.001134', '0.001312', '0.001296', '0.002217', '0.001220', '0.001224', '0.001261', '0.000958', '0.001023', '0.001291', '0.001305', '0.001196', '0.001115', '0.001236', '0.002927', '0.001208', '0.002509', '0.001215', '0.003175', '0.001389', '0.002747', '0.724705', '0.074628']
['0.043816', '0.005879', '0.003142', '0.012539', '0.003178', '0.006165', '0.003054', '0.012608', '0.002949', '0.002198', '0.002316', '0.004141', '0.003723', '0.002869', '0.002731', '0.003799', '0.003677', '0.001997', '0.004715', '0.002085', '0.001873', '0.002479', '0.005624', '0.002349', '0.002569', '0.001630', '0.003360', '0.004432', '0.001017', '0.001271', '0.004113', '0.003581', '0.001695', '0.001754', '0.000973', '0.002473', '0.001223', '0.001303', '0.001238', '0.002731', '0.001225', '0.001286', '0.001166', '0.000950', '0.001105', '0.001345', '0.001240', '0.001332', '0.001256', '0.001206', '0.003155', '0.001147', '0.002746', '0.001315', '0.003174', '0.001368', '0.002731', '0.716404', '0.076992']
['0.045595', '0.005806', '0.003401', '0.017128', '0.003372', '0.006354', '0.003513', '0.013319', '0.002521', '0.002080', '0.002486', '0.004454', '0.004328', '0.003365', '0.002975', '0.004331', '0.004051', '0.002422', '0.004946', '0.002360', '0.002009', '0.002860', '0.006692', '0.002460', '0.002821', '0.001636', '0.004676', '0.004460', '0.001304', '0.001488', '0.004914', '0.004173', '0.001855', '0.001955', '0.001356', '0.002653', '0.001404', '0.001497', '0.001633', '0.003281', '0.001375', '0.001417', '0.001217', '0.001008', '0.001140', '0.001452', '0.001581', '0.001449', '0.001452', '0.001443', '0.003056', '0.001208', '0.002718', '0.001446', '0.003626', '0.001575', '0.002885', '0.688540', '0.081968']
['0.050978', '0.005729', '0.003521', '0.021772', '0.003839', '0.006527', '0.004010', '0.019225', '0.003193', '0.002545', '0.002677', '0.004830', '0.004945', '0.003855', '0.003458', '0.004620', '0.004727', '0.002688', '0.007556', '0.002666', '0.001832', '0.003328', '0.010379', '0.002765', '0.002641', '0.001667', '0.007551', '0.006891', '0.001104', '0.001322', '0.008194', '0.006201', '0.001692', '0.002084', '0.001187', '0.004432', '0.001413', '0.001281', '0.001741', '0.005864', '0.001510', '0.001534', '0.001311', '0.001109', '0.001278', '0.001587', '0.001672', '0.001766', '0.001559', '0.001628', '0.004129', '0.001338', '0.003052', '0.001576', '0.004399', '0.001816', '0.003386', '0.626554', '0.097141']
